area,level,year,household,parking,fuel,SNU,sratio,med,popden,edu,lnsubnet,lngreen,lnwater,spring,fall,winter,score,sentiment,lnprice,longitude,latitude
122.995,10,2011,713,1.34,0,2,100.5642923,40,430.1785714,21.4754008,8.52158269,6.042602457,6.493810187,0,0,1,5,2.333877551,10.33526997,127.470424,36.28276
84.974,4,2011,713,1.34,0,2,100.5642923,40,430.1785714,21.4754008,8.52158269,6.042602457,6.493810187,0,0,1,5,2.333877551,10.03451581,127.470424,36.28276
101.4,19,2011,713,1.34,0,2,100.5642923,40,430.1785714,21.4754008,8.52158269,6.042602457,6.493810187,0,0,1,5,2.333877551,10.16969059,127.470424,36.28276
84.985,3,2011,713,1.34,0,2,100.5642923,40,430.1785714,21.4754008,8.52158269,6.042602457,6.493810187,0,0,1,5,2.333877551,10.02127059,127.470424,36.28276
101.4,11,2011,713,1.34,0,2,100.5642923,40,430.1785714,21.4754008,8.52158269,6.042602457,6.493810187,0,0,1,5,2.333877551,10.2327913,127.470424,36.28276
27.3205,8,2015,299,0.49,0,18,106.9881159,36,2395.487106,34.0808894,5.924582111,5.287280255,5.910245007,0,0,1,5,2.619047619,9.159047078,127.343024,36.354192
19.4086,10,2015,299,0.49,0,18,106.9881159,36,2395.487106,34.0808894,5.924582111,5.287280255,5.976108313,0,0,1,5,2.619047619,8.927977461,127.343024,36.354192
19.4086,9,2015,299,0.49,0,18,106.9881159,36,2395.487106,34.0808894,5.924582111,5.287280255,5.976108313,1,0,0,5,2.619047619,8.950273467,127.343024,36.354192
19.4086,10,2015,299,0.49,0,18,106.9881159,36,2395.487106,34.0808894,5.924582111,5.287280255,5.976108313,1,0,0,5,2.619047619,8.923990745,127.343024,36.354192
19.4086,15,2015,299,0.49,0,18,106.9881159,36,2395.487106,34.0808894,5.924582111,5.287280255,5.976108313,1,0,0,5,2.619047619,8.937218451,127.343024,36.354192
23.3496,11,2015,299,0.49,0,18,106.9881159,36,2395.487106,34.0808894,5.924582111,5.287280255,5.976108313,1,0,0,5,2.619047619,9.047821442,127.343024,36.354192
19.4086,9,2015,299,0.49,0,18,106.9881159,36,2395.487106,34.0808894,5.924582111,5.287280255,5.976108313,0,0,0,5,2.619047619,8.935903526,127.343024,36.354192
19.4086,13,2015,299,0.49,0,18,106.9881159,36,2395.487106,34.0808894,5.924582111,5.287280255,5.976108313,0,0,0,5,2.619047619,8.888756748,127.343024,36.354192
